video_id,title,description
vGWLKtF843I,List Comprehension,"📚 MLB02 — Python Foundations — List Comprehension

In this video, we cover List Comprehension as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 4:31

🔄 Previous: For Loop — https://www.youtube.com/watch?v=CjX2Uyrfm_Y
➡️ Next: Enumerate — https://www.youtube.com/watch?v=4iptpn-yuEA

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
4iptpn-yuEA,Enumerate,"📚 MLB02 — Python Foundations — Enumerate

In this video, we cover Enumerate as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 2:58

🔄 Previous: List Comprehension — https://www.youtube.com/watch?v=vGWLKtF843I
➡️ Next: Functions — https://www.youtube.com/watch?v=4v1tkAFMG9s

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
4v1tkAFMG9s,Functions,"📚 MLB02 — Python Foundations — Functions

In this video, we cover Functions as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 11:39

🔄 Previous: Enumerate — https://www.youtube.com/watch?v=4iptpn-yuEA
➡️ Next: Args & Kwargs — https://www.youtube.com/watch?v=0_yCV5FmlGA

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
0_yCV5FmlGA,Args & Kwargs,"📚 MLB02 — Python Foundations — Args & Kwargs

In this video, we cover Args & Kwargs as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 4:59

🔄 Previous: Functions — https://www.youtube.com/watch?v=4v1tkAFMG9s
➡️ Next: Scope & Modules — https://www.youtube.com/watch?v=VBfzT5TEMQ0

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
VBfzT5TEMQ0,Scope & Modules,"📚 MLB02 — Python Foundations — Scope & Modules

In this video, we cover Scope & Modules as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 8:07

🔄 Previous: Args & Kwargs — https://www.youtube.com/watch?v=0_yCV5FmlGA
➡️ Next: Recursion — https://www.youtube.com/watch?v=LhD5dFDbXEc

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
LhD5dFDbXEc,Recursion,"📚 MLB02 — Python Foundations — Recursion

In this video, we cover Recursion as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 4:24

🔄 Previous: Scope & Modules — https://www.youtube.com/watch?v=VBfzT5TEMQ0
➡️ Next: Fruitful Functions — https://www.youtube.com/watch?v=uBV7tB-FOlU

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
uBV7tB-FOlU,Fruitful Functions,"📚 MLB02 — Python Foundations — Fruitful Functions

In this video, we cover Fruitful Functions as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 12:45

🔄 Previous: Recursion — https://www.youtube.com/watch?v=LhD5dFDbXEc
➡️ Next: Files Handling — https://www.youtube.com/watch?v=Ye6Xly74DI0

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
Ye6Xly74DI0,Files Handling,"📚 MLB02 — Python Foundations — Files Handling

In this video, we cover Files Handling as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 7:47

🔄 Previous: Fruitful Functions — https://www.youtube.com/watch?v=uBV7tB-FOlU
➡️ Next: Exceptions Handling — https://www.youtube.com/watch?v=U84eCzAoq10

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
U84eCzAoq10,Exceptions Handling,"📚 MLB02 — Python Foundations — Exceptions Handling

In this video, we cover Exceptions Handling as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 10:26

🔄 Previous: Files Handling — https://www.youtube.com/watch?v=Ye6Xly74DI0
➡️ Next: OOP 1: What Is OOP — https://www.youtube.com/watch?v=aDr1HcI2crc

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
aDr1HcI2crc,OOP 1: What Is OOP,"📚 MLB02 — Python Foundations — OOP 1: What Is OOP

In this video, we cover OOP 1: What Is OOP as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 5:49

🔄 Previous: Exceptions Handling — https://www.youtube.com/watch?v=U84eCzAoq10
➡️ Next: OOP 2: Class Anatomy — https://www.youtube.com/watch?v=IspUqlkCCFY

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
IspUqlkCCFY,OOP 2: Class Anatomy,"📚 MLB02 — Python Foundations — OOP 2: Class Anatomy

In this video, we cover OOP 2: Class Anatomy as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 12:42

🔄 Previous: OOP 1: What Is OOP — https://www.youtube.com/watch?v=aDr1HcI2crc
➡️ Next: OOP 3: OOP Principles — https://www.youtube.com/watch?v=xBrWpUurNZQ

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
xBrWpUurNZQ,OOP 3: OOP Principles,"📚 MLB02 — Python Foundations — OOP 3: OOP Principles

In this video, we cover OOP 3: OOP Principles as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 9:13

🔄 Previous: OOP 2: Class Anatomy — https://www.youtube.com/watch?v=IspUqlkCCFY
➡️ Next: OOP 4: Machine Learning Example — https://www.youtube.com/watch?v=4yrxwaQm2QQ

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
4yrxwaQm2QQ,OOP 4: Machine Learning Example,"📚 MLB02 — Python Foundations — OOP 4: Machine Learning Example

In this video, we cover OOP 4: Machine Learning Example as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/02-python_foundations
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 3:53

🔄 Previous: OOP 3: OOP Principles — https://www.youtube.com/watch?v=xBrWpUurNZQ

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
pSpO2VWFs2s,Guessing Game,"📚 MLB03 — Python Projects — Guessing Game

In this video, we cover Guessing Game as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/03-python_projects
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 17:04

➡️ Next: Tic-Tac-Toe Game — https://www.youtube.com/watch?v=QM0cCCMzCKY

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
QM0cCCMzCKY,Tic-Tac-Toe Game,"📚 MLB03 — Python Projects — Tic-Tac-Toe Game

In this video, we cover Tic-Tac-Toe Game as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/03-python_projects
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 24:01

🔄 Previous: Guessing Game — https://www.youtube.com/watch?v=pSpO2VWFs2s
➡️ Next: Simple ATM — https://www.youtube.com/watch?v=wi1XNiGHqP8

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
wi1XNiGHqP8,Simple ATM,"📚 MLB03 — Python Projects — Simple ATM

In this video, we cover Simple ATM as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/03-python_projects
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 8:19

🔄 Previous: Tic-Tac-Toe Game — https://www.youtube.com/watch?v=QM0cCCMzCKY
➡️ Next: Weather API — https://www.youtube.com/watch?v=vNcdTdDaHV4

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
vNcdTdDaHV4,Weather API,"📚 MLB03 — Python Projects — Weather API

In this video, we cover Weather API as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/03-python_projects
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 35:45

🔄 Previous: Simple ATM — https://www.youtube.com/watch?v=wi1XNiGHqP8
➡️ Next: News API — https://www.youtube.com/watch?v=OfrwLHpsMb8

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
OfrwLHpsMb8,News API,"📚 MLB03 — Python Projects — News API

In this video, we cover News API as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/03-python_projects
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 11:52

🔄 Previous: Weather API — https://www.youtube.com/watch?v=vNcdTdDaHV4
➡️ Next: Books Scraping — https://www.youtube.com/watch?v=fAdlqu6Cw-4

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
fAdlqu6Cw-4,Books Scraping,"📚 MLB03 — Python Projects — Books Scraping

In this video, we cover Books Scraping as part of the ML Bootcamp.

🔗 Resources:
• Code & Notes: https://github.com/a7madmostafa/ML_Bootcamp/tree/main/03-python_projects
• Full Course Repo: https://github.com/a7madmostafa/ML_Bootcamp

⏱️ Duration: 17:11

🔄 Previous: News API — https://www.youtube.com/watch?v=OfrwLHpsMb8
➡️ Next: Guess the Word — https://www.youtube.com/watch?v=km2Z5tcHpAk

👤 Connect with me:
• LinkedIn: https://www.linkedin.com/in/ahmadmmostafa/

#MachineLearning #Python #DataScience #MLBootcamp"
